id,neighborhood,price,latitude,longitude
37449963,Gateway - Green Valley Ranch,$35.00 ,39.79442,-104.76673
37452064,Cherry Creek,$200.00 ,39.72463,-104.94729
37455784,CBD,$125.00 ,39.74591,-104.99752
37458909,Gateway - Green Valley Ranch,$50.00 ,39.795,-104.77913
37465994,Windsor,$80.00 ,39.70617,-104.86869
37493320,City Park West,$55.00 ,39.74007,-104.966
37494188,Union Station,$260.00 ,39.75557,-105.00086
37495663,West Colfax,$350.00 ,39.74042,-105.0439
37497118,Clayton,$92.00 ,39.76359,-104.95677
37499533,Congress Park,$50.00 ,39.72788,-104.95714
37513398,Jefferson Park,$200.00 ,39.75009,-105.02148
37517906,Five Points,$180.00 ,39.75643,-104.98422
37525445,East Colfax,$34.00 ,39.73701,-104.88901
37531177,Union Station,$100.00 ,39.75058,-105.00114
37557265,Union Station,$185.00 ,39.7546,-105.00042
37561342,Whittier,$80.00 ,39.75668,-104.9618
37566725,Union Station,$185.00 ,39.75473,-105.00088
37567133,North Park Hill,$60.00 ,39.75781,-104.93139
37571210,Union Station,$350.00 ,39.75521,-105.00104
37572285,Stapleton,$76.00 ,39.75909,-104.89929
37586142,Highland,$135.00 ,39.76625,-105.01645
37589529,Cherry Creek,$150.00 ,39.7238,-104.9536
37590420,Stapleton,$100.00 ,39.79884,-104.87634
37594962,Clayton,$151.00 ,39.76286,-104.95395
37596369,South Park Hill,$151.00 ,39.75072,-104.9194
37607560,Gateway - Green Valley Ranch,$49.00 ,39.7818,-104.80208
37625723,Northeast Park Hill,$249.00 ,39.76641,-104.9143
37627800,Clayton,$151.00 ,39.76305,-104.95444
